iter	Passed	Remaining
421	3481	7037
422	3485	7019
423	3490	7006
424	3496	6992
425	3499	6974
426	3503	6957
427	3513	6952
428	3522	6947
429	3528	6934
430	3532	6917
431	3541	6911
432	3551	6905
433	3561	6901
434	3570	6894
435	3577	6884
436	3586	6876
437	3596	6872
438	3610	6875
439	3620	6870
427	4981	7205
428	4997	7199
429	5009	7188
430	5020	7174
431	5032	7164
432	5044	7152
433	5056	7141
434	5060	7120
435	5071	7106
436	5082	7094
437	5093	7081
438	5104	7070
439	5115	7056
440	5126	7044
441	5138	7034
442	5152	7024
443	5160	7008
444	5173	6998
445	5185	6987
446	5192	6970
447	5206	6961
448	5223	6957
449	5238	6949
450	5248	6936
451	5263	6929
452	5269	6909
453	5277	6893
454	5290	6882
455	5300	6870
456	5313	6860
457	5326	6850
458	5341	6843
459	5353	6832
460	5361	6815
461	5375	6806
462	5389	6798
463	5395	6778
464	5402	6761
465	5412	6748
466	5421	6733
467	5434	6723
468	5443	6708
469	5454	6696
470	5467	6686
471	5479	6675
472	5485	6656
473	5497	6646
474	5507	6632
475	5520	6622
476	5533	6612
477	5539	6594
478	5554	6586
479	5566	6574
480	5577	6562
481	5590	6552
482	5604	6544
483	5616	6532
484	5629	6523
485	5643	6514
486	5652	6499
487	5666	6490
488	5672	6472
489	5688	6466
490	5699	6454
491	5712	6444
492	5721	6429
493	5733	6418
494	5745	6407
495	5759	6397
496	5771	6386
497	5779	6371
498	5794	6363
499	5806	6351
500	5817	6340
501	5828	6328
502	5841	6317
503	5855	6308
504	5867	6297
505	5876	6282
506	5886	6269
507	5905	6265
508	5917	6254
509	5930	6244
510	5941	6232
511	5955	6223
512	5972	6217
513	5984	6206
514	5994	6192
515	6013	6188
516	6025	6177
556	10462
496	5566	10450
497	5578	10440
498	5591	10432
499	5600	10417
500	5611	10406
501	5625	10398
502	5636	10388
503	5651	10383
504	5661	10369
505	5672	10358
506	5681	10343
507	5694	10335
508	5707	10327
509	5720	10319
510	5729	10304
511	5740	10293
512	5753	10284
513	5766	10277
514	5774	10260
515	5781	10240
516	5795	10234
517	5801	10214
518	5815	10208
519	5829	10201
520	5841	10191
521	5851	10179
522	5866	10172
523	5880	10167
524	5888	10151
525	5899	10139
526	5915	10135
527	5925	10122
528	5938	10115
529	5950	10105
530	5961	10093
531	5975	10087
532	5987	10076
533	5999	10066
534	6014	10060
535	6028	10054
536	5998	9975
537	6018	9979
5907	9737
540	5920	9729
541	5933	9720
542	5947	9714
543	5959	9705
544	5971	9696
545	5982	9685
546	5992	9674
547	6003	9663
548	6019	9660
549	6034	9654
98
588	4898	4291
589	4903	4280
590	4915	4275
591	4921	4264
592	4928	4255
593	4932	4243
594	4936	4230
595	4942595	49595	4935596	49597	4956597	49598	4968598	49599	4976599	4962	4176
600	4972	4169
601	4981	4162
602	4987	4151
603	4993	4142
604	50604	5008605	5012	4127
606	50606	5028607	5031	4113
608	5038	4103
609	5045	4094
610	5055	4087
611	5066	4081
612	5080	4077
613	5086	4067
614	5098	4062
615	5108	4054
616	5119	4049
617	5127	4040
618	5139	4034
619	5148	4027
620	5159	4021
621	5167	4012
622	5177	4005
623	5181	3993
624	5185	3982
625	5194	3974
626	5202	3966
627	5211	3958
628	5219	3950
629	52629	5234630	52630	5239631	52631	5247632	52632	5256633	52633	5262634	5266	3898
635	5277	3891
636	5286	3883
637	5299	3879
638	5305	3869
639	5313	3860
640	5325	3855
641	5332	3846
642	5342	3838
643	5351	3830
644	5361	3824
645	5374	3818
646	5383	3811
647	5391	3802
648	5400	3794
649	5405	3783
650	5414	3776
651	5420	3765
652	5427	3757
653	5435	3748
654	5445	3741
655	5451	3731
656	5462	3724
657	5466	3713
658	5474	3704
659	5482	3696
660	5490	3687
661	54661	5503662	5505	3670
663	5515	3663
664	5525	3655
665	5529	3645
666	5540	3638
667	5551	3631
