iter	RMSE
145	19285.23095
146	19224.34307
147	19128.50642
148	19108.19518
149	19043.28004
150	18984.03859
151	18940.37692
152	18881.27155
153	18810.26139
154	18757.3796
155	18697.00211
156	18617.73717
157	18574.94281
158	18538.78531
159	18506.44028
160	18468.8811
161	18427.72632
162	18383.01996
163	18308.06553
164	18254.00468
165	18210.06274
166	18163.18699
167	18119.49354
168	18088.54294
169	18037.76419
170	17994.72565
171	17914.06222
172	17888.41432
173	17856.42805
174	17811.40315
175	17769.30655
176	17715.82056
177	17691.35691
178	17642.98932
179	17599.07249
180	17556.21399
181	17517.18163
182	17481.42606
183	17442.75076
184	17385.76758
185	17326.59238
186	17287.48501
187	17235.3699
188	17205.76622
189	17148.68136
190	17122.54224
191	17087.0472
192	17042.59545
193	16993.26117
194	16939.77071
195	16898.48773
196	16842.68046
197	16786.3922
198	16751.6182
199	16693.70425
200	16660.72451
201	16631.60994
202	16583.28859
203	16572.68781
204	16528.59271
205	16495.34081
206	16474.77252
207	16462.88622
208	16430.9544
209	16413.47516
210	16393.64311
211	16362.53614
212	16314.08717
213	16250.75442
214	16212.5479
215	16171.47848
216	16121.48767
217	16071.85153
218	16030.72141
219	15993.27124
220	15950.5915
221	15895.15914
222	15885.32372
223	15836.79372
224	15819.45761
225	15774.72437
226	15719.39399
227	15692.88546
228	15669.80722
229	15624.28012
230	15588.90016
231	15544.42757
232	15509.16534
233	15482.55278
234	15448.01892
235	15405.57984
236	15380.73011
237	15343.63495
238	15309.42967
239	15272.07589
240	15238.41952
241	15207.20708
242	15184.53072
243	15130.86439
244	15099.12886
245	15064.91331
246	15041.44194
247	15021.21224
248	15001.9238
249	14975.69361
250	14937.14148
251	14918.99632
252	14894.30325
253	14861.98408
254	14833.73079
255	14811.62866
256	14781.69775
257	14753.88057
258	14721.82635
259	14677.80433
260	14656.17389
261	14626.30902
262	14598.95088
263	14568.45203
264	14548.4218
265	14525.9927
266	14496.94957
267	14478.90386
268	14447.5088
269	14421.45738
270	14387.17661
271	14361.50974
272	14333.13069
273	14317.92168
274	14291.44395
275	14272.22307
276	14258.60204
277	14246.69815
278	14228.84815
279	14209.35147
280	14169.78461
281	14163.50793
282	14153.78922
283	14112.20226
284	14086.07054
285	14065.14228
286	14039.54426
287	13993.2249
288	13971.98309
289	13934.18543
290	13909.31669
291	13883.88199
292	13852.36238
293	13818.06591
294	13793.32277
295	13753.00781
296	13742.23763
297	13721.1128
298	13685.69602
299	13678.05463
300	13645.6532
301	13621.30583
302	13592.31191
303	13576.73682
304	13562.89106
305	13542.59322
306	13509.13701
307	13468.74085
308	13454.5037
309	13431.91334
310	13399.7246
311	13390.88271
312	13363.12293
313	13341.18872
314	13332.82089
315	13295.47711
316	13274.01614
317	13245.95414
318	13217.64121
319	13195.7979
320	13188.74216
321	13168.76943
322	13130.03848
323	13095.56596
324	13089.19513
325	13055.01644
326	13018.31473
327	12992.61949
328	12961.41891
329	12936.32048
330	12899.63375
331	12861.16752
332	12835.57125
333	12799.5288
334	12779.40688
335	12743.52679
336	12737.36708
337	12700.74927
338	12680.98389
339	12657.97103
340	12638.14917
341	12609.12127
342	12586.8246
343	12580.70688
344	12546.70437
345	12531.42081
346	12505.91347
347	12482.61445
348	12460.24366
349	12432.66832
350	12402.99355
351	12368.9066
352	12347.72157
353	12325.63628
354	12314.3147
355	12292.2245
356	12267.977
357	12244.83404
358	12221.43968
359	12199.57541
360	12179.70447
361	12165.51774
362	12150.09481
363	12128.03598
364	12116.66103
365	12084.26125
366	12076.05009
367	12060.80116
368	12041.98787
369	12013.19707
370	11983.1335
371	11947.86547
372	11926.36547
373	11911.88478
374	11883.1955
375	11874.83584
376	11863.40823
377	11851.87573
378	11834.16156
379	11825.96523
380	11797.07738
381	11781.83798
382	11765.54218
383	11739.70345
384	11711.95494
385	11703.84219
386	11680.05649
387	11655.99288
388	11633.05616
389	11616.52985
390	11583.26538
391	11563.99844
392	11540.42237
393	11523.97322
394	11504.94542
395	11481.24936
396	11462.72805
397	11449.11325
398	11425.77278
399	11391.63917
400	11360.48181
401	11343.06949
402	11320.56759
403	11303.98439
404	11277.85495
405	11249.24085
406	11220.83591
407	11204.22315
408	11184.22215
409	11163.05399
410	11157.40497
411	11130.09666
412	11109.2399
413	11091.27953
414	11087.54751
415	11070.09886
416	11050.12294
417	11042.26134
418	11022.12579
419	11005.62409
420	10985.96178
421	10969.4839
422	10955.60295
423	10930.57252
424	10914.34229
425	10894.8411
426	10886.84638
427	10869.93838
428	10841.87544
429	10819.39754
430	10816.01617
431	10803.58226
432	10784.17673
433	10773.58071
434	10756.73829
435	10736.5736
436	10711.94797
437	10680.43129
438	10660.26069
439	10640.50315
440	10623.14167
441	10606.61939
442	10587.85776
443	10563.29952
444	10545.93013
445	10540.23651
446	10523.61446
447	10507.77005
448	10495.16116
449	10484.0032
450	10470.84224
451	10454.41553
452	10433.71794
453	10410.25367
454	10391.26127
455	10377.15502
456	10348.07081
457	10326.26861
458	10322.18846
459	10303.63283
460	10289.65118
461	10286.39404
462	10267.24237
463	10258.81101
464	10241.72916
465	10221.11889
466	10210.28286
467	10207.4987
468	10183.73829
469	10168.41803
470	10145.68441
471	10127.62867
472	10110.34028
473	10090.51115
474	10076.55287
475	10060.66944
476	10049.86602
477	10028.19962
478	10009.32957
479	9995.640277
480	9975.925472
481	9961.264132
482	9946.155196
483	9942.95155
484	9928.233393
485	9904.170599
486	9890.163357
487	9865.222062
488	9848.767783
489	9830.686308
490	9828.729804
491	9813.505456
492	9796.985796
493	9789.140411
494	9764.746135
495	9753.697305
496	9735.878548
497	9714.467078
498	9699.94505
499	9682.778704
500	9672.027498
501	9646.376879
502	9626.4997
503	9610.580428
504	9588.292588
505	9571.448327
506	9559.407786
507	9546.478589
508	9529.568822
509	9504.301897
510	9501.532881
511	9484.465112
512	9471.48924
513	9453.797303
514	9442.416613
515	9431.436766
516	9414.872337
517	9403.357585
518	9401.226731
519	9384.014752
520	9369.039229
521	9357.050722
522	9344.705592
523	9328.643018
524	9313.714897
525	9312.388913
526	9301.862376
527	9285.587093
528	9263.504954
529	9251.502858
530	9249.97224
531	9227.975664
532	9226.191016
533	9224.320208
534	9216.802989
535	9194.467418
536	9187.946283
537	9177.983982
538	9163.363318
539	9153.891477
540	9140.864713
541	9128.301086
542	9113.950005
543	9089.982842
544	9078.047659
545	9063.102536
546	9048.439923
547	9036.225009
548	9023.025341
549	9007.598258
550	8980.70847
551	8965.757757
552	8947.531692
553	8931.650672
554	8920.923532
555	8907.652822
556	8906.414535
557	8892.805654
558	8891.61387
559	8874.934197
560	8873.629242
561	8863.323762
562	8861.821776
563	8840.300682
564	8818.952589
565	8812.321968
566	8803.881813
567	8795.910722
568	8785.531729
569	8771.885404
570	8756.122406
571	8745.201927
572	8743.997671
573	8735.490021
574	8725.934898
575	8710.383759
576	8696.263009
577	8682.340679
578	8669.155134
579	8660.10081
580	8639.874996
581	8638.170079
582	8622.701503
583	8609.604499
584	8591.449898
585	8583.548721
586	8569.641004
587	8557.242803
588	8549.418898
589	8548.197313
590	8540.836339
591	8524.621738
592	8516.292152
593	8515.275347
594	8507.956621
595	8496.400394
596	8482.59165
597	8463.790632
598	8449.704723
599	8436.411891
600	8425.277989
601	8408.698464
602	8398.619549
603	8379.465911
604	8365.094305
605	8353.393627
606	8342.14245
607	8325.802668
608	8308.70662
609	8297.832419
610	8286.279696
611	8271.744476
612	8251.639606
613	8236.427216
614	8224.098126
615	8213.275739
616	8202.931547
617	8191.513905
618	8179.93292
619	8174.226678
620	8172.75888
621	8168.24241
622	8155.210957
623	8143.883787
624	8140.175764
625	8138.800766
626	8137.777104
627	8125.061759
628	8116.100267
629	8104.253709
630	8077.206799
631	8071.479352
632	8060.653637
633	8058.962186
634	8044.701889
635	8032.882199
636	8020.079842
637	8010.559804
638	8009.117571
639	8006.961694
640	7993.972389
641	7983.984697
642	7971.656531
643	7969.427292
644	7960.068542
645	7952.975173
646	7942.928514
647	7937.209017
648	7925.64397
649	7914.635709
650	7904.933704
651	7893.170469
652	7878.897048
653	7877.833715
654	7864.627555
655	7854.750052
656	7853.483455
657	7851.89964
658	7838.988209
659	7837.745362
660	7828.149567
661	7815.060578
662	7802.595784
663	7794.103649
664	7777.208892
665	7767.589488
666	7753.765883
667	7736.515175
668	7725.936722
669	7724.719246
670	7704.036823
671	7695.452641
672	7682.563074
673	7673.011107
674	7664.49644
675	7655.948433
676	7640.881761
677	7625.620702
678	7613.546163
679	7594.566857
680	7593.402668
681	7580.720173
682	7566.892101
683	7565.843837
684	7554.811097
685	7540.883216
686	7538.237294
687	7528.626067
688	7515.972387
689	7503.812833
690	7502.820623
691	7489.573849
692	7477.569345
693	7476.582144
694	7460.055399
695	7447.833745
696	7446.942488
697	7434.873215
698	7426.409562
699	7409.471671
700	7402.821932
701	7401.961927
702	7389.06387
703	7388.071573
704	7380.887637
705	7365.002276
706	7353.023655
707	7352.213979
708	7339.848879
709	7331.893426
710	7316.764247
711	7306.909865
712	7293.324262
713	7288.870322
714	7288.00462
715	7272.592115
716	7263.780518
717	7251.224555
718	7240.209991
719	7230.230929
720	7217.048137
721	7211.104683
722	7210.133567
723	7209.406303
724	7203.102939
725	7190.7796
726	7190.046784
727	7182.309061
728	7170.80923
729	7165.12234
730	7154.657363
731	7146.451498
732	7136.264062
733	7121.687166
734	7117.553493
735	7116.853869
736	7102.608922
737	7091.881145
738	7083.304666
739	7069.786573
740	7059.110167
741	7058.535893
742	7048.853593
743	7038.129787
744	7019.300016
745	7008.557887
746	6997.170912
747	6989.521516
748	6978.668244
749	6977.402296
750	6969.955983
751	6955.871693
752	6948.019904
753	6937.71595
754	6928.930265
755	6918.957112
756	6909.593224
757	6902.360381
758	6886.136277
759	6877.499685
760	6868.390211
761	6859.419511
762	6852.435603
763	6844.178417
764	6837.219157
765	6825.09164
766	6824.208697
767	6823.323032
768	6806.268741
769	6805.604523
770	6791.695838
771	6784.159353
772	6774.105969
773	6760.364047
774	6742.364128
775	6732.355486
776	6731.462936
777	6721.264614
778	6713.680933
779	6700.783041
780	6687.805719
781	6681.992697
782	6675.046026
783	6658.626141
784	6651.264577
785	6650.43757
786	6639.138955
787	6638.363022
788	6631.298123
789	6624.778626
790	6624.123556
791	6617.244885
792	6607.900991
793	6596.322543
794	6589.069161
795	6581.207703
796	6573.01006
797	6569.231373
798	6564.258807
799	6550.884627
800	6541.218269
801	6528.95549
802	6517.141095
803	6516.508959
804	6501.957207
805	6493.217779
806	6478.667097
807	6471.39873
808	6465.603943
809	6451.398547
810	6437.653442
811	6436.980428
812	6424.910785
813	6411.869467
814	6404.083538
815	6384.731716
816	6374.441316
817	6362.220098
818	6353.690253
819	6349.086071
820	6333.232117
821	6324.603698
822	6323.956337
823	6323.191056
824	6313.998586
825	6313.524235
826	6300.440943
827	6293.699256
828	6288.35426
829	6279.089675
830	6270.621763
831	6262.008273
832	6249.85288
833	6241.500914
834	6233.904615
835	6226.625153
836	6218.44485
837	6213.871395
838	6204.528607
839	6191.443026
840	6174.951207
841	6163.839263
842	6160.826841
843	6153.687883
844	6146.00897
845	6139.106296
846	6129.75046
847	6121.527755
848	6111.180317
849	6110.536917
850	6098.544618
851	6096.885528
852	6086.718555
853	6072.928508
854	6072.254856
855	6064.998042
856	6061.180732
857	6054.376288
858	6046.509376
859	6038.085258
860	6029.320287
861	6025.613632
862	6025.011175
863	6014.23665
864	6006.079332
865	5993.02055
866	5990.323792
867	5989.818613
868	5977.232297
869	5968.827122
870	5955.337083
871	5940.428781
872	5928.651691
873	5919.706254
874	5910.434681
875	5906.773529
876	5896.233618
877	5888.986967
878	5882.69388
879	5873.066833
880	5868.27211
881	5853.807973
882	5850.258818
883	5835.496256
884	5834.207733
885	5822.819257
886	5818.125843
887	5817.620232
888	5817.05627
889	5808.977732
890	5801.874484
891	5791.732841
892	5784.808403
893	5778.512858
894	5778.170261
895	5769.72305
896	5765.538117
897	5753.299643
898	5752.829668
899	5749.702166
900	5744.566915
901	5733.063426
902	5728.011836
903	5720.574355
904	5713.265895
905	5707.588598
906	5694.356153
907	5682.437032
908	5672.384474
909	5665.794709
910	5660.886696
911	5642.929861
912	5633.370446
913	5633.021498
914	5629.296295
915	5625.820018
916	5614.427261
917	5605.980457
918	5600.839715
919	5595.997601
920	5595.624191
921	5585.771129
922	5585.275529
923	5577.244209
924	5576.841705
925	5565.689614
926	5559.228722
927	5553.221912
928	5545.998871
929	5542.736773
930	5535.706981
931	5530.568787
932	5522.664339
933	5515.118946
934	5512.262905
935	5507.472921
936	5500.925437
937	5492.135807
938	5491.751624
939	5491.320876
940	5484.671818
941	5481.015187
942	5474.574284
943	5464.53231
944	5459.795119
945	5449.532152
946	5449.096161
947	5443.87008
948	5442.33367
949	5438.814216
950	5429.468179
951	5415.52391
952	5401.735734
953	5396.493897
954	5391.022986
955	5390.477392
956	5389.968548
957	5384.89102
958	5380.147334
959	5368.758573
960	5362.29307
961	5358.948432
962	5358.425639
963	5348.134241
964	5337.550782
965	5328.009619
966	5325.784925
967	5325.410642
968	5319.164575
969	5318.612504
970	5308.513862
971	5297.96643
972	5289.580157
973	5277.840784
974	5268.509152
975	5262.564187
976	5251.601273
977	5246.938423
978	5235.951393
979	5231.345937
980	5225.006462
981	5219.539978
982	5213.079585
983	5206.797192
984	5206.446041
985	5200.53562
986	5200.180509
987	5199.822041
988	5195.769242
989	5188.791086
990	5180.372022
991	5173.873356
992	5160.216689
993	5153.785975
994	5144.817451
995	5144.505552
996	5134.667166
997	5132.883928
998	5132.456681
999	5123.561351
